,value,word,topic
0,0.1960739914135545,uint,0
1,0.18837831667298113,contract,0
2,0.18070440419597694,address,0
3,0.15382809066727413,web,0
4,0.15201886381775964,function,0
5,0.13966676267474032,hyperledger,0
6,0.13536166923872323,fabric,0
7,0.1336777873147599,public,0
8,0.11499274490385061,transaction,0
9,0.11442459707540877,smart,0
10,0.31350967547985853,uint,1
11,0.19656305804186547,address,1
12,0.1596744307937385,public,1
13,0.15201278133343996,function,1
14,0.15097187117203237,msg,1
15,0.13635413943330896,sender,1
16,0.12047063788338656,contract,1
17,0.10213044912797034,erc,1
18,0.09541687527245242,token,1
19,0.09364726352718072,payable,1
20,0.2807510334656422,web,2
21,0.16410737032436373,js,2
22,0.11039808523513624,block,2
23,0.11020732650851302,ethereum,2
24,0.10268539176372475,eth,2
25,0.09865005840092891,wallet,2
26,0.09464423477666467,nconst,2
27,0.09306904482409385,console,2
28,0.0915324333447007,const,2
29,0.09145599949691523,node,2
30,0.2866021261140568,web,3
31,0.25049887826634076,js,3
32,0.1468788472295681,org,3
33,0.14521227631818642,node_modules,3
34,0.14361052262296004,const,3
35,0.14008503467035713,nconst,3
36,0.11944456366018744,console,3
37,0.11618134403940761,truffle,3
38,0.11448312339323762,peer,3
39,0.11205427366474385,log,3
40,0.2524424069929509,contract,4
41,0.2468876089385105,token,4
42,0.24439006128055768,smart,4
43,0.20583387327580416,erc,4
44,0.1556246527767436,composer,4
45,0.12363563045173329,tokens,4
46,0.11446168811424134,contracts,4
47,0.10620395044612006,wallet,4
48,0.09250610062107961,ethereum,4
49,0.09064072132408275,hyperledger,4
50,0.21885772179515753,org,5
51,0.20612843070835504,peer,5
52,0.1554821543807834,token,5
53,0.1311101855061504,example,5
54,0.12058739427156741,channel,5
55,0.11659090804999105,wallet,5
56,0.11139648756507482,chaincode,5
57,0.10470910155376009,msp,5
58,0.09227788519819173,erc,5
59,0.09190209445629521,orderer,5
60,0.6501461241894979,chaincode,6
61,0.1891185556565587,contract,6
62,0.16433480625786584,smart,6
63,0.12422929892515663,go,6
64,0.09622556375468642,deploy,6
65,0.08836123287085879,invoke,6
66,0.08530292774735541,shim,6
67,0.07011832492090925,data,6
68,0.06950655101476885,query,6
69,0.06840730986337261,hyperledger,6
70,0.38031493410116046,composer,7
71,0.22212934750432667,hyperledger,7
72,0.19351999233829537,web,7
73,0.159836862412631,const,7
74,0.1413558430521017,fabric,7
75,0.11778582344172564,await,7
76,0.11199717665848707,transaction,7
77,0.10797971671932821,nconst,7
78,0.10731083218330571,wallet,7
79,0.09936481430595895,log,7
80,0.3180846566997366,contract,8
81,0.2714790221237456,smart,8
82,0.23796938249657515,web,8
83,0.143380795679995,hyperledger,8
84,0.13287624894331976,block,8
85,0.11037029864275354,fabric,8
86,0.1097064847250721,composer,8
87,0.10216289902556736,channel,8
88,0.09817773010192322,org,8
89,0.08408131861702547,network,8
90,0.3513938332465353,block,9
91,0.3015600386988762,token,9
92,0.276454275242316,erc,9
93,0.15308211697554158,self,9
94,0.13358287693904614,composer,9
95,0.1304145115940034,hash,9
96,0.12117944891570007,tokens,9
97,0.10519017783825016,js,9
98,0.10290856762914524,node_modules,9
99,0.09751966792439941,transfer,9
100,0.21040227485598667,corda,10
101,0.11628066747975792,composer,10
102,0.10223676565773036,smart,10
103,0.09693715565826598,java,10
104,0.0967152948027121,api,10
105,0.09285780485546404,node,10
106,0.08449020671314732,key,10
107,0.08035339983796654,string,10
108,0.07405030671624882,contract,10
109,0.06944437189137737,nodes,10
110,0.2643672543360607,web,11
111,0.2052071313112912,fabric,11
112,0.14404475029456693,eth,11
113,0.14380221589780193,msg,11
114,0.1381213368146288,hyperledger,11
115,0.1376450295211941,sender,11
116,0.10973982530796518,geth,11
117,0.108295660530751,ethereum,11
118,0.108206528754829,balance,11
119,0.1081480974881416,address,11
120,0.24053260290026354,composer,12
121,0.21566973529298344,python,12
122,0.21455576313064229,self,12
123,0.2045566228990168,py,12
124,0.11900834028782807,line,12
125,0.11138450192224388,org,12
126,0.10648992202226684,file,12
127,0.09825824510031549,closed,12
128,0.0928891084030258,packages,12
129,0.08868471344553915,site,12
130,0.1731290289878498,chaincode,13
131,0.1632889296329698,composer,13
132,0.1522241101287097,msg,13
133,0.1313959241556304,block,13
134,0.12593905450973059,sender,13
135,0.11384747667229089,balance,13
136,0.11289490370694172,node,13
137,0.10896014522839155,js,13
138,0.10690505771603162,contract,13
139,0.10568097047686224,wallet,13
140,0.44147269460080024,corda,14
141,0.20669152378759686,web,14
142,0.19793434972315843,composer,14
143,0.1886365797261337,java,14
144,0.13660718653219717,chaincode,14
145,0.13354663720579635,erc,14
146,0.1216905551719622,closed,14
147,0.11909269046161901,state,14
148,0.11537995518988668,eth,14
149,0.11477808108382917,blockchaincorda,14
